level1	 level2 	KOGid
Energy production and conversion	Mitochondrial F1F0-ATP synthase, subunit Cf6 (coupling factor 6)	[KOG4634]
Signal transduction mechanisms	Adaptor for phosphoinositide 3-kinase	[KOG4637]
Function unknown	Uncharacterized conserved protein	[KOG2340]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFB3/B12 subunit	[KOG4631]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFA7/B14.5A subunit	[KOG4630]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit	[KOG4633]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit	[KOG4632]
General function prediction only	FOG: 7 transmembrane receptor	[KOG3656]
Signal transduction mechanisms	Predicted guanine nucleotide exchange factor (PEBBLE)	[KOG3524]
Cytoskeleton	Uncharacterized CH domain protein	[KOG3654]
Signal transduction mechanisms	Serine/threonine protein phosphatase 2A, regulatory subunit	[KOG1354]
Function unknown	Uncharacterized conserved protein	[KOG3652]
Signal transduction mechanisms	Transforming growth factor beta/activin receptor subfamily of serine/threonine kinases	[KOG3653]
Carbohydrate transport and metabolism	Beta-N-acetylhexosaminidase	[KOG2499]
Signal transduction mechanisms	IK cytokine down-regulator of HLA class II	[KOG2498]
General function prediction only	Predicted methyltransferase	[KOG2497]
Cell cycle control, cell division, chromosome partitioning	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit	[KOG2496]
Transcription	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit	[KOG2496]
Replication, recombination and repair	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit	[KOG2496]
Energy production and conversion	NADH-dehydrogenase (ubiquinone)	[KOG2495]
Transcription	C3H1-type Zn-finger protein	[KOG2494]
Inorganic ion transport and metabolism	Na+/Pi symporter	[KOG2493]
Transcription	Protein involved in transcription start site selection	[KOG2424]
Nuclear structure	Nuclear matrix protein	[KOG2491]
Signal transduction mechanisms	Sodium-neurotransmitter symporter	[KOG3659]
Function unknown	Uncharacterized conserved protein, contains SPRY domain	[KOG4030]
General function prediction only	Uncharacterized SAM domain protein	[KOG4384]
Amino acid transport and metabolism	Ornithine decarboxylase antizyme	[KOG4387]
Translation, ribosomal structure and biogenesis	60S Ribosomal protein L13	[KOG3295]
Signal transduction mechanisms	RUN domain-containing protein	[KOG4381]
General function prediction only	Carnitine deficiency associated protein	[KOG4380]
Nucleotide transport and metabolism	Uridine phosphorylase	[KOG3728]
Function unknown	Uncharacterized conserved protein, contains DTW domain	[KOG4382]
Function unknown	Uncharacterized conserved protein	[KOG3726]
Cell cycle control, cell division, chromosome partitioning	Mitogen inducible gene product (contains ERM and PH domains)	[KOG3727]
Intracellular trafficking, secretion, and vesicular transport	Negative regulator of COPII vesicle formation	[KOG3724]
Signal transduction mechanisms	SH3 domain protein SH3GLB	[KOG3725]
Signal transduction mechanisms	Acetylcholinesterase/Butyrylcholinesterase	[KOG4389]
Signal transduction mechanisms	PH domain protein Melted	[KOG3723]
Lipid transport and metabolism	Lysosomal & prostatic acid phosphatases	[KOG3720]
RNA processing and modification	Small nuclear ribonucleoprotein (snRNP)	[KOG3293]
Intracellular trafficking, secretion, and vesicular transport	Membrane component of ER protein translocation complex	[KOG2927]
General function prediction only	Predicted RNA-binding protein, contains SWAP and G-patch domains	[KOG0965]
Translation, ribosomal structure and biogenesis	Predicted translation initiation factor related to eIF-1A	[KOG2925]
Posttranslational modification, protein turnover, chaperones	Deoxyhypusine synthase	[KOG2924]
Function unknown	Uncharacterized conserved protein	[KOG2923]
Lipid transport and metabolism	Peroxisomal phytanoyl-CoA hydroxylase	[KOG3290]
Posttranslational modification, protein turnover, chaperones	Intramembrane metalloprotease (sterol-regulatory element-binding protein (SREBP) protease)	[KOG2921]
General function prediction only	Predicted methyltransferase	[KOG2920]
Transcription	Predicted DNA-binding protein	[KOG2588]
Amino acid transport and metabolism	Urea transporter	[KOG2348]
Transcription	Transcription factor, component of CCR4 transcriptional complex	[KOG2929]
Replication, recombination and repair	Origin recognition complex, subunit 2	[KOG2928]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG4692]
Posttranslational modification, protein turnover, chaperones	Multifunctional chaperone (14-3-3 family)	[KOG0841]
Function unknown	Uncharacterized conserved protein	[KOG4709]
General function prediction only	Predicted PhzC/PhzF-type epimerase	[KOG3033]
Lipid transport and metabolism	Lipid phosphate phosphatase and related enzymes of the PAP2 family	[KOG3030]
Translation, ribosomal structure and biogenesis	Protein required for biogenesis of the ribosomal 60S subunit	[KOG3031]
General function prediction only	Protein involved in cell differentiation/sexual development	[KOG3036]
General function prediction only	Cell membrane glycoprotein	[KOG3037]
General function prediction only	Isoamyl acetate-hydrolyzing esterase and related enzymes	[KOG3034]
Lipid transport and metabolism	Isoamyl acetate-hydrolyzing esterase	[KOG3035]
Cell wall/membrane/envelope biogenesis	Chitinase	[KOG4701]
General function prediction only	Uncharacterized homolog of ribosome-binding factor A	[KOG4700]
Function unknown	Uncharacterized conserved protein	[KOG4703]
Function unknown	Uncharacterized conserved protein	[KOG3039]
Function unknown	Uncharacterized conserved protein	[KOG4705]
Function unknown	Uncharacterized conserved protein	[KOG4704]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L20	[KOG4707]
Function unknown	Uncharacterized conserved protein	[KOG4706]
Signal transduction mechanisms	Uncharacterized conserved protein, contains TBC domain	[KOG4561]
General function prediction only	Uncharacterized conserved protein, contains TBC domain	[KOG4561]
Transcription	Transcription factor IIIC box B binding (alpha) subunit	[KOG4560]
Chromatin structure and dynamics	Cell cycle-regulated histone H1-binding protein	[KOG4563]
Cell cycle control, cell division, chromosome partitioning	Cell cycle-regulated histone H1-binding protein	[KOG4563]
Function unknown	Uncharacterized conserved protein (tumor-rejection antigen MAGE in humans)	[KOG4562]
Cell cycle control, cell division, chromosome partitioning	Warts/lats-like serine threonine kinases	[KOG0608]
Signal transduction mechanisms	Adenylate cyclase-coupled calcitonin receptor	[KOG4564]
General function prediction only	GTPase-activating protein	[KOG4567]
Signal transduction mechanisms	Cytokine-inducible SH2 protein	[KOG4566]
Signal transduction mechanisms	MAP kinase-activated protein kinase 2	[KOG0604]
General function prediction only	NDR and related serine/threonine kinases	[KOG0605]
Signal transduction mechanisms	Microtubule-associated serine/threonine kinase and related proteins	[KOG0606]
General function prediction only	Microtubule-associated serine/threonine kinase and related proteins	[KOG0606]
Signal transduction mechanisms	MAP kinase-interacting kinase and related serine/threonine protein kinases	[KOG0607]
Cell cycle control, cell division, chromosome partitioning	Cdc2-related protein kinase	[KOG0600]
Cell cycle control, cell division, chromosome partitioning	Cyclin-dependent kinase WEE1	[KOG0601]
Carbohydrate transport and metabolism	Neutral trehalase	[KOG0602]
Signal transduction mechanisms	Ribosomal protein S6 kinase	[KOG0603]
Transcription	Transcription factor	[KOG4091]
Function unknown	Uncharacterized conserved protein	[KOG4090]
Function unknown	Uncharacterized conserved protein	[KOG4093]
Energy production and conversion	Mitochondrial F1F0-ATP synthase, subunit f	[KOG4092]
General function prediction only	Uncharacterized conserved protein (tumor-specific protein BCL7 in humans)	[KOG4095]
Function unknown	Uncharacterized conserved protein	[KOG4094]
Energy production and conversion	Succinate dehydrogenase membrane anchor subunit and related proteins	[KOG4097]
Intracellular trafficking, secretion, and vesicular transport	Succinate dehydrogenase membrane anchor subunit and related proteins	[KOG4097]
Function unknown	Uncharacterized conserved protein	[KOG4096]
Function unknown	Predicted membrane protein	[KOG4099]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone Prefoldin, subunit 2	[KOG4098]
Energy production and conversion	Vacuolar H+-ATPase V1 sector, subunit A	[KOG1352]
Chromatin structure and dynamics	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)	[KOG0933]
Cell cycle control, cell division, chromosome partitioning	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)	[KOG0933]
Function unknown	mRNA splicing factor	[KOG0282]
Intracellular trafficking, secretion, and vesicular transport	Predicted guanine nucleotide exchange factor, contains Sec7 domain	[KOG0931]
Intracellular trafficking, secretion, and vesicular transport	Clathrin adaptor complex, small subunit	[KOG0936]
RNA processing and modification	Pleiotropic regulator 1	[KOG0285]
General function prediction only	G-protein beta subunit	[KOG0286]
Replication, recombination and repair	Postreplication repair protein RAD18	[KOG0287]
General function prediction only	WD40 repeat protein TipD	[KOG0288]
General function prediction only	mRNA splicing factor	[KOG0289]
Intracellular trafficking, secretion, and vesicular transport	Adaptor complexes medium subunit family	[KOG0938]
Replication, recombination and repair	ATP-dependent DNA ligase IV	[KOG0966]
Energy production and conversion	Cytochrome c oxidase, subunit VIIc/COX8	[KOG4527]
General function prediction only	RNA-binding protein (RRM superfamily)	[KOG0110]
Lipid transport and metabolism	Phospholipid methyltransferase	[KOG4142]
General function prediction only	Predicted endonuclease	[KOG4417]
Chromatin structure and dynamics	Nuclear protein Ataxin-7	[KOG4140]
General function prediction only	Predicted RNA-binding protein (RRM superfamily)	[KOG0114]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-like protein	[KOG4146]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit PSMD5	[KOG4413]
RNA processing and modification	Heterogeneous nuclear ribonucleoprotein R (RRM superfamily)	[KOG0117]
General function prediction only	FOG: RRM domain	[KOG0118]
RNA processing and modification	Splicing factor 1/branch point binding protein (RRM superfamily)	[KOG0119]
Function unknown	Uncharacterized conserved protein	[KOG4149]
Function unknown	Uncharacterized conserved protein	[KOG4148]
Nucleotide transport and metabolism	5' nucleotidase	[KOG4419]
Function unknown	Predicted membrane protein	[KOG4418]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein YKT6, synaptobrevin/VAMP syperfamily	[KOG0861]
Cytoskeleton	Cytoskeleton-associated protein and related proteins	[KOG4568]
General function prediction only	Cytoskeleton-associated protein and related proteins	[KOG4568]
Function unknown	Uncharacterized conserved protein	[KOG4523]
Chromatin structure and dynamics	SWI-SNF chromatin remodeling complex, Snf5 subunit	[KOG1649]
Transcription	SWI-SNF chromatin remodeling complex, Snf5 subunit	[KOG1649]
General function prediction only	Uncharacterized conserved protein, contains RUN, BRK and TBC domains	[KOG1648]
Energy production and conversion	Vacuolar H+-ATPase V1 sector, subunit D	[KOG1647]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S6	[KOG1646]
Posttranslational modification, protein turnover, chaperones	RING-finger-containing E3 ubiquitin ligase	[KOG1645]
RNA processing and modification	U2-associated snRNP A' protein	[KOG1644]
Carbohydrate transport and metabolism	Triosephosphate isomerase	[KOG1643]
RNA processing and modification	Ribonuclease, T2 family	[KOG1642]
Posttranslational modification, protein turnover, chaperones	Mitochondrial chaperonin	[KOG1641]
Lipid transport and metabolism	Predicted steroid reductase	[KOG1640]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0738]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0739]
Secondary metabolites biosynthesis, transport and catabolism	Organic anion transporter	[KOG3626]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0730]
Cell cycle control, cell division, chromosome partitioning	Protein involved in meiotic recombination/predicted coiled-coil protein	[KOG3433]
General function prediction only	Protein involved in meiotic recombination/predicted coiled-coil protein	[KOG3433]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase containing the bromodomain	[KOG0732]
Posttranslational modification, protein turnover, chaperones	Nuclear AAA ATPase (VCP subfamily)	[KOG0733]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase containing the peptidase M41 domain	[KOG0734]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0735]
Posttranslational modification, protein turnover, chaperones	Peroxisome assembly factor 2 containing the AAA+-type ATPase domain	[KOG0736]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0737]
Cell wall/membrane/envelope biogenesis	Pectin acetylesterase and similar proteins	[KOG4287]
General function prediction only	FOG: Zn-finger	[KOG1721]
Posttranslational modification, protein turnover, chaperones	Glutathione S-transferase	[KOG0868]
General function prediction only	PHD Zn-finger proteins	[KOG1844]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial import inner membrane translocase, subunit TIM13	[KOG1733]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L21	[KOG1732]
Posttranslational modification, protein turnover, chaperones	Ubiquitin carboxyl-terminal hydrolase	[KOG1887]
Transcription	BAH domain proteins	[KOG1886]
Lipid transport and metabolism	Oxysterol-binding protein	[KOG1737]
Transcription	Transcription factor GT-2 and related proteins, contains trihelix DNA-binding/SANT domain	[KOG4282]
Cytoskeleton	Actin depolymerizing factor	[KOG1735]
Posttranslational modification, protein turnover, chaperones	Predicted RING-containing E3 ubiquitin ligase	[KOG1734]
Signal transduction mechanisms	Serine/threonine protein kinase GPBP	[KOG1739]
Defense mechanisms	Serine/threonine protein kinase GPBP	[KOG1739]
Signal transduction mechanisms	Phosphatidylinositol 3-kinase catalytic subunit (p110)	[KOG0904]
Lipid transport and metabolism	Putative phosphoinositide phosphatase	[KOG1889]
Lipid transport and metabolism	Putative phosphoinositide phosphatase	[KOG1888]
Secondary metabolites biosynthesis, transport and catabolism	Flavin-containing monooxygenase	[KOG1399]
Function unknown	Uncharacterized conserved protein	[KOG1398]
General function prediction only	Predicted acyl-CoA dehydrogenase	[KOG1469]
Translation, ribosomal structure and biogenesis	Predicted translation initiation factor related to eIF-2B alpha/beta/delta subunits (CIG2/IDI2)	[KOG1468]
Replication, recombination and repair	Telomerase catalytic subunit/reverse transcriptase TERT	[KOG1005]
Chromatin structure and dynamics	Telomerase catalytic subunit/reverse transcriptase TERT	[KOG1005]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit RPN6/PSMD11	[KOG1463]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2B, gamma subunit (eIF-2Bgamma/GCD1)	[KOG1462]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6)	[KOG1461]
Carbohydrate transport and metabolism	GDP-mannose pyrophosphorylase	[KOG1460]
Cell wall/membrane/envelope biogenesis	GDP-mannose pyrophosphorylase	[KOG1460]
Posttranslational modification, protein turnover, chaperones	GDP-mannose pyrophosphorylase	[KOG1460]
Amino acid transport and metabolism	Tryptophan synthase beta chain	[KOG1395]
Lipid transport and metabolism	3-oxoacyl-(acyl-carrier-protein) synthase (I and II)	[KOG1394]
Secondary metabolites biosynthesis, transport and catabolism	3-oxoacyl-(acyl-carrier-protein) synthase (I and II)	[KOG1394]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2B, beta subunit (eIF-2Bbeta/GCD7)	[KOG1465]
Posttranslational modification, protein turnover, chaperones	COP9 signalosome, subunit CSN2	[KOG1464]
Signal transduction mechanisms	COP9 signalosome, subunit CSN2	[KOG1464]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0424]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0425]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0426]
Posttranslational modification, protein turnover, chaperones	Ubiquitin conjugating enzyme	[KOG0427]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0420]
